SWL1,SWL2,SWL3,SWL4,SWL5,Hours,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Age,GAD_T,Platform_PC,Platform_Smartphone / Tablet,earnings_Other,earnings_Professional,earnings_Side Income,whyplay_Improving,whyplay_Other,whyplay_Relaxing,whyplay_Winning,League_Challenger,League_Diamond,League_Gold,League_Master,League_Other,League_Platinum,League_Silver,League_Unknown,League_Unranked,Gender_Male,Gender_Other,Work_Student at college / university,Work_Student at school,Work_Unemployed / between jobs,Work_Unknown,Degree_High school diploma (or equivalent),Degree_Master (or equivalent),"Degree_Ph.D., Psy. D., MD (or equivalent)",Degree_Unknown,Playstyle_Offline Multiplayer,Playstyle_Other,Playstyle_Real Life Friends,Playstyle_Singleplayer,Playstyle_Strangers
2,2,2,2,2,10.0,5.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,6,6,6,3,40.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,18,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
6,6,6,5,7,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,3,6,5,4,35.0,5.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2,3,4,2,1,60.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4,4,3,4,2,7.0,6.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,3.0,25,8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,7,7,7,3,20.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,29,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,3,5,3,25.0,25.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,0.0,3.0,4.0,2.0,1.0,3.0,2.0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2,6,1,2,2,,0.0,2.0,0.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,4.0,3.0,0.0,1.0,18,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,4,4,4,4,10.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,18,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
4,6,7,7,6,28.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6,6,7,6,7,10.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,0.0,3.0,3.0,4.0,3.0,2.0,2.0,0.0,2.0,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
5,6,5,4,4,15.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,1.0,1.0,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,6,5,4,4,15.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,1.0,1.0,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,5,6,6,4,55.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20,8,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,4,3,4,6,7.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,7,2,1,1,52.0,,1.0,2.0,0.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,18,5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2,2,4,1,2,18.0,30.0,2.0,1.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,19,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,5,2,1,20.0,5.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,30,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,7,5,6,2,40.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2,3,3,5,4,18.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3,6,6,3,2,14.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,18,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2,2,5,2,2,14.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,23,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,6,6,6,4,20.0,7.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,19,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,6,6,5,6,20.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,22,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2,3,5,1,1,50.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,25,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
